index,Unassigned;__;__,k__Bacteria;p__Absconditabacteria_(SR1);c__Absconditabacteria_(SR1)_[C-1],k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Coriobacteriia,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Bacteroidetes;c__Bacteroidetes_[C-1],k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Firmicutes;c__Erysipelotrichia,k__Bacteria;p__Firmicutes;c__Mollicutes,k__Bacteria;p__Firmicutes;c__Negativicutes,k__Bacteria;p__Fusobacteria;c__Fusobacteriia,k__Bacteria;p__Gracilibacteria_(GN02);c__Gracilibacteria_(GN02)_[C-1],k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Saccharibacteria_(TM7);c__Saccharibacteria_(TM7)_[C-1],k__Bacteria;p__Spirochaetes;c__Spirochaetia,k__Bacteria;p__Synergistetes;c__Synergistia,Sample Name,Individual (A-L),Oil Pulling - Before (2) or After (1)?,Sampling Day #,Dietary Notes
515rcbc241,0.0,0.0,5302.0,0.0,0.0,0.0,418.0,90.0,0.0,3960.0,2.0,0.0,0.0,270.0,192.0,0.0,0.0,0.0,330.0,7.0,3449.0,0.0,0.0,0.0,PM A3,A,1,31.0,R
515rcbc480,2.0,22.0,8508.0,7.0,0.0,39.0,3449.0,652.0,129.0,2468.0,732.0,17.0,37.0,1545.0,2275.0,2.0,0.0,0.0,8667.0,348.0,7706.0,36.0,829.0,25.0,SC A2,J,1,16.0,R
515rcbc482,0.0,14.0,2034.0,18.0,0.0,67.0,4753.0,308.0,182.0,1028.0,1040.0,38.0,21.0,883.0,2229.0,0.0,0.0,0.0,2236.0,399.0,2051.0,48.0,1752.0,44.0,SC B1,J,2,1.0,R
515rcbc456,2.0,0.0,8838.0,0.0,0.0,0.0,110.0,77.0,0.0,7191.0,19.0,0.0,0.0,1090.0,447.0,2.0,0.0,16.0,354.0,31.0,3702.0,0.0,7.0,0.0,YZ B2,F,2,16.0,R
515rcbc250,0.0,0.0,822.0,0.0,0.0,0.0,47.0,53.0,0.0,494.0,0.0,0.0,0.0,81.0,109.0,0.0,0.0,0.0,336.0,3.0,2532.0,0.0,0.0,0.0,ZM B3,B,2,31.0,R
515rcbc266,7.0,0.0,454.0,0.0,0.0,2.0,106.0,6.0,0.0,1413.0,2.0,0.0,0.0,144.0,60.0,0.0,0.0,11.0,144.0,6.0,8565.0,0.0,5.0,0.0,TH B1,E,2,1.0,R
515rcbc462,0.0,0.0,228.0,0.0,0.0,0.0,16.0,22.0,0.0,429.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,82.0,2.0,3898.0,0.0,0.0,0.0,CK B2,G,2,16.0,R
515rcbc244,3.0,0.0,3221.0,2.0,0.0,0.0,915.0,717.0,0.0,2503.0,199.0,0.0,0.0,1361.0,2378.0,0.0,0.0,0.0,1036.0,274.0,1764.0,8.0,6.0,0.0,PM B3,A,2,31.0,R
515rcbc248,2.0,0.0,36.0,0.0,0.0,0.0,5.0,4.0,0.0,12.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,65.0,0.0,63.0,0.0,0.0,0.0,ZM B1,B,2,1.0,R
515rcbc270,2.0,0.0,2232.0,6.0,0.0,0.0,194.0,29.0,3.0,8277.0,46.0,0.0,0.0,471.0,130.0,0.0,0.0,4.0,162.0,41.0,7369.0,4.0,5.0,0.0,YZ A2,F,1,16.0,R
515rcbc258,0.0,0.0,1432.0,5.0,0.0,0.0,2034.0,78.0,0.0,4556.0,20.0,0.0,0.0,284.0,92.0,0.0,0.0,0.0,2687.0,34.0,14803.0,0.0,4.0,0.0,AH A2,D,1,16.0,R
515rcbc483,0.0,0.0,310.0,0.0,0.0,2.0,113.0,33.0,2.0,252.0,15.0,2.0,2.0,38.0,64.0,0.0,0.0,0.0,194.0,8.0,489.0,2.0,3.0,0.0,SC B2,J,2,16.0,R
515rcbc477,7.0,0.0,5721.0,2.0,0.0,0.0,574.0,61.0,0.0,6908.0,18.0,0.0,0.0,1233.0,99.0,0.0,0.0,3.0,1497.0,20.0,6069.0,0.0,0.0,0.0,ZX B3,I,2,31.0,R
515rcbc458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,CK B1,G,2,1.0,R
