	515rcbc257	515rcbc255	515rcbc247	515rcbc263	515rcbc479	515rcbc267	515rcbc454	515rcbc496	515rcbc484	515rcbc264	515rcbc239	515rcbc495	515rcbc243	515rcbc254	515rcbc271	515rcbc464	515rcbc240	515rcbc472	515rcbc259	515rcbc265	515rcbc249	515rcbc256	515rcbc251	515rcbc466	515rcbc470	515rcbc245	515rcbc269	515rcbc457	515rcbc471	515rcbc262	515rcbc478	515rcbc465	515rcbc253	515rcbc242	515rcbc467	515rcbc268	515rcbc261	515rcbc461	515rcbc493	515rcbc252	515rcbc241	515rcbc480	515rcbc482	515rcbc456	515rcbc250	515rcbc266	515rcbc462	515rcbc244	515rcbc248	515rcbc270	515rcbc258	515rcbc483	515rcbc477	515rcbc458
515rcbc257	0.0	0.6623376623376623	0.6302521008403361	0.7483443708609272	0.8260869565217391	0.6891891891891891	0.8837209302325582	0.7719298245614035	0.8111111111111111	0.7350993377483444	0.675	0.7016129032258065	0.6823529411764706	0.7168674698795181	0.6299212598425197	0.7087378640776699	0.5740740740740741	0.6974789915966386	0.5333333333333333	0.6853146853146853	0.6832298136645962	0.7027027027027027	0.736318407960199	0.9529411764705882	0.7272727272727273	0.6557377049180327	0.6513157894736842	0.6788321167883211	0.7089552238805971	0.5511811023622047	0.7108433734939759	0.7192982456140351	0.7348066298342542	0.7487179487179487	0.6829268292682927	0.7391304347826086	0.4666666666666667	0.708029197080292	0.7348066298342542	0.6701570680628273	0.6	0.8239202657807309	0.8529411764705882	0.6713286713286714	0.6666666666666666	0.6879432624113475	0.723404255319149	0.7169811320754716	0.7613636363636364	0.6308724832214765	0.4830508474576271	0.75	0.635593220338983	0.9764705882352941
515rcbc255	0.6623376623376623	0.0	0.6462585034013606	0.75	0.7959866220735786	0.7150837988826816	0.944	0.7607843137254902	0.7560975609756098	0.7458563535911602	0.6737967914438503	0.7531645569620253	0.6802030456852792	0.34	0.7037037037037037	0.7928571428571428	0.6619718309859155	0.7094594594594594	0.6582278481012658	0.7126436781609196	0.5411764705882353	0.39436619718309857	0.5051546391752577	0.9754098360655737	0.7338129496402878	0.6666666666666666	0.7315789473684211	0.7005988023952096	0.7098765432098766	0.6904761904761905	0.6910994764397905	0.7183098591549296	0.5439560439560439	0.7037037037037037	0.7225806451612903	0.7272727272727273	0.6746987951807228	0.7090909090909091	0.755868544600939	0.5922330097087378	0.6713286713286714	0.7774294670846394	0.8165137614678899	0.686046511627907	0.6666666666666666	0.7151162790697675	0.7906976744186046	0.7027027027027027	0.8306451612903226	0.6813186813186813	0.6645962732919255	0.7660818713450293	0.695364238410596	0.9834710743801653
515rcbc247	0.6302521008403361	0.6462585034013606	0.0	0.6811594202898551	0.8388278388278388	0.635036496350365	0.8734177215189873	0.7647058823529411	0.7782101167315175	0.6470588235294118	0.5958904109589042	0.6491228070175439	0.6521739130434783	0.6357615894039735	0.6083333333333333	0.7010309278350515	0.5151515151515151	0.616822429906542	0.6260162601626016	0.6287878787878788	0.5862068965517241	0.6397058823529411	0.7068062827225131	0.9487179487179487	0.6428571428571429	0.3645833333333333	0.6530612244897959	0.5967741935483871	0.6050420168067226	0.6691729323308271	0.70625	0.61	0.6863905325443787	0.6759776536312849	0.6283185840707964	0.6532258064516129	0.5952380952380952	0.6507936507936508	0.7167630057803468	0.7	0.5151515151515151	0.8197278911564626	0.8571428571428571	0.6739130434782609	0.42528735632183906	0.6814814814814815	0.6219512195121951	0.668918918918919	0.725	0.6319444444444444	0.6456692913385826	0.7913669064748201	0.6491228070175439	0.9743589743589743
515rcbc263	0.7483443708609272	0.75	0.6811594202898551	0.0	0.775	0.5104895104895105	0.9150943396226415	0.7056277056277056	0.75	0.32	0.6875	0.723404255319149	0.6574585635359116	0.7526881720430108	0.6503496503496503	0.8396946564885496	0.7279411764705882	0.7205882352941176	0.75	0.4076923076923077	0.702247191011236	0.7289156626506024	0.7361111111111112	0.9811320754716981	0.7380952380952381	0.7021276595744681	0.6086956521739131	0.6486486486486487	0.6938775510204082	0.7232704402515723	0.653179190751445	0.7777777777777778	0.7282051282051282	0.6581632653061225	0.6691176470588235	0.5267175572519084	0.6987179487179487	0.7515923566878981	0.7537688442211056	0.7242990654205608	0.7185185185185186	0.7483221476510067	0.8064516129032258	0.6428571428571429	0.7557251908396947	0.5833333333333334	0.8220338983050848	0.60625	0.8468468468468469	0.6484848484848484	0.7307692307692307	0.7875	0.6956521739130435	0.9807692307692307
515rcbc479	0.8260869565217391	0.7959866220735786	0.8388278388278388	0.775	0.0	0.7958477508650519	0.9669421487603306	0.7492795389048992	0.4775641025641026	0.776595744680851	0.7840531561461794	0.8545454545454545	0.74	0.7725752508361204	0.8201438848920863	0.9045801526717557	0.8634686346863468	0.8513011152416357	0.8214285714285714	0.8041958041958042	0.8231511254019293	0.8191126279863481	0.7522935779816514	0.9875	0.8735632183908046	0.8436363636363636	0.7747440273037542	0.7862318840579711	0.8237410071942446	0.7753623188405797	0.7482993197278912	0.8679245283018868	0.7802547770700637	0.7161290322580646	0.8467153284671532	0.8243727598566308	0.8056537102473498	0.8625429553264605	0.7802547770700637	0.7129337539432177	0.8634686346863468	0.30666666666666664	0.22183098591549297	0.7758007117437722	0.8712121212121212	0.8146853146853147	0.9169960474308301	0.7612456747404844	0.9176954732510288	0.773972602739726	0.823321554770318	0.6733870967741935	0.828996282527881	0.9916317991631799
515rcbc267	0.6891891891891891	0.7150837988826816	0.635036496350365	0.5104895104895105	0.7958477508650519	0.0	0.9285714285714286	0.7008547008547008	0.7362637362637363	0.5069444444444444	0.6666666666666666	0.6879432624113475	0.7150259067357513	0.7189189189189189	0.5547445255474452	0.7829457364341085	0.6716417910447762	0.6838235294117647	0.7012987012987013	0.45255474452554745	0.6666666666666666	0.7368421052631579	0.7129629629629629	0.9819819819819819	0.71875	0.6176470588235294	0.559748427672956	0.6241610738255033	0.668918918918919	0.7160493827160493	0.64	0.7218045112781954	0.7286432160804021	0.7177033492822966	0.6808510638297872	0.5	0.6835443037974683	0.7115384615384616	0.7091836734693877	0.6886792452830188	0.7007299270072993	0.7727272727272727	0.8132911392405063	0.6282051282051282	0.6771653543307087	0.45185185185185184	0.7796610169491526	0.7045454545454546	0.8333333333333334	0.5925925925925926	0.7232704402515723	0.75625	0.6496350364963503	0.981651376146789
515rcbc454	0.8837209302325582	0.944	0.8734177215189873	0.9150943396226415	0.9669421487603306	0.9285714285714286	0.0	0.9595959595959596	0.9621848739495799	0.9166666666666666	0.9302325581395349	0.9259259259259259	0.9361702127659575	0.946969696969697	0.8888888888888888	0.8431372549019608	0.8888888888888888	0.9054054054054054	0.9148936170212766	0.9245283018867925	0.9302325581395349	0.9369369369369369	0.9473684210526315	0.75	0.8813559322033898	0.9024390243902439	0.9173553719008265	0.8969072164948454	0.9	0.9108910891089109	0.9312977099236641	0.875	0.9455782312925171	0.9440993788819876	0.9	0.9247311827956989	0.9	0.9157894736842105	0.9455782312925171	0.9473684210526315	0.9041095890410958	0.966789667896679	0.9664179104477612	0.8952380952380953	0.8709677419354839	0.9117647058823529	0.8205128205128205	0.9344262295081968	0.75	0.907563025210084	0.90625	0.9139784946236559	0.8846153846153846	0.8181818181818182
515rcbc496	0.7719298245614035	0.7607843137254902	0.7647058823529411	0.7056277056277056	0.7492795389048992	0.7008547008547008	0.9595959595959596	0.0	0.6697530864197531	0.7405857740585774	0.680327868852459	0.6584158415841584	0.7300380228136882	0.7333333333333333	0.7377777777777778	0.8373205741626795	0.8	0.7731481481481481	0.7565217391304347	0.7155172413793104	0.635593220338983	0.7622950819672131	0.7183098591549296	0.9794871794871794	0.8207547169811321	0.7601809954751131	0.6929460580912863	0.7617021276595745	0.7477876106194691	0.775	0.6666666666666666	0.780952380952381	0.7536764705882353	0.6888888888888889	0.7522935779816514	0.726457399103139	0.7105263157894737	0.73568281938326	0.5574468085106383	0.6811594202898551	0.7889908256880734	0.7287671232876712	0.7438692098092643	0.7288135593220338	0.8240740740740741	0.6830357142857143	0.85	0.749003984063745	0.905	0.6751054852320675	0.7543103448275862	0.8271604938271605	0.7276995305164319	0.9897435897435898
515rcbc484	0.8111111111111111	0.7560975609756098	0.7782101167315175	0.75	0.4775641025641026	0.7362637362637363	0.9621848739495799	0.6697530864197531	0.0	0.7608695652173914	0.708185053380783	0.7716535433070866	0.7582781456953642	0.740484429065744	0.7781954887218046	0.8862745098039215	0.803921568627451	0.8185328185328186	0.7933579335793358	0.7717391304347826	0.7525773195876289	0.7836879432624113	0.7183544303797469	0.9830508474576272	0.8543307086614174	0.7790697674418605	0.759581881533101	0.7657992565055762	0.7910447761194029	0.7683823529411765	0.7457044673539519	0.8260869565217391	0.7375415282392026	0.7258064516129032	0.8098859315589354	0.7873134328358209	0.7592592592592593	0.7941176470588235	0.7333333333333333	0.6721311475409836	0.8223938223938224	0.3814102564102564	0.4458204334365325	0.7463235294117647	0.83399209486166	0.7509293680297398	0.8801652892561983	0.7758620689655172	0.9166666666666666	0.7275985663082437	0.7822878228782287	0.680161943319838	0.8	0.9915254237288136
515rcbc264	0.7350993377483444	0.7458563535911602	0.6470588235294118	0.32	0.776595744680851	0.5069444444444444	0.9166666666666666	0.7405857740585774	0.7608695652173914	0.0	0.6685714285714286	0.7272727272727273	0.6388888888888888	0.7142857142857143	0.6458333333333334	0.8333333333333334	0.7037037037037037	0.7153284671532847	0.7371794871794872	0.3543307086614173	0.6983240223463687	0.7245508982035929	0.7385321100917431	0.9814814814814815	0.7322834645669292	0.6879432624113475	0.6049382716049383	0.6068965517241379	0.6891891891891891	0.6942675159235668	0.6494252873563219	0.781021897810219	0.7046632124352331	0.634020618556701	0.6642335766423357	0.5	0.710691823899371	0.7701863354037267	0.7623762376237624	0.7149532710280374	0.7132352941176471	0.7541528239202658	0.8	0.6729559748427673	0.7404580152671756	0.5793103448275863	0.8151260504201681	0.6024844720496895	0.8288288288288288	0.6445783132530121	0.7577639751552795	0.775	0.7092198581560284	0.9811320754716981
