	515rcbc257	515rcbc255	515rcbc247	515rcbc263	515rcbc479	515rcbc267	515rcbc454	515rcbc496	515rcbc484	515rcbc264	515rcbc239	515rcbc495	515rcbc243	515rcbc254	515rcbc271	515rcbc464	515rcbc240	515rcbc472	515rcbc259	515rcbc265	515rcbc249	515rcbc256	515rcbc251	515rcbc466	515rcbc470	515rcbc245	515rcbc269	515rcbc457	515rcbc471	515rcbc262	515rcbc478	515rcbc465	515rcbc253	515rcbc242	515rcbc467	515rcbc268	515rcbc261	515rcbc461	515rcbc493	515rcbc252	515rcbc241	515rcbc480	515rcbc482	515rcbc456	515rcbc250	515rcbc266	515rcbc462	515rcbc244	515rcbc248	515rcbc270	515rcbc258	515rcbc483	515rcbc477	515rcbc458
515rcbc257	0.0	0.41271410629826577	0.41075794621026895	0.5468800136907181	0.7031909776043616	0.45328083370664657	0.9924506626184713	0.7975865885592419	0.533069378205705	0.6978443635030811	0.5474725238071413	0.4870593114890087	0.4966312255176273	0.372412439909742	0.4603931392553385	0.5955019976801135	0.6666006077421059	0.4310327556846639	0.4357498236718199	0.5572810181250144	0.6778900112233446	0.4231767644609884	0.3728681988191292	0.9965460526315789	0.7131025915317989	0.5526405346038424	0.5313590263691683	0.5719500395813176	0.46099123066311953	0.4157769413933482	0.6906818632666679	0.4032560541407333	0.5398728291738922	0.5472520628989569	0.39685433271154824	0.6789898194032636	0.34536181309199676	0.5657564526583456	0.6069187334715174	0.40862642097919316	0.45584625829025016	0.6080488239198355	0.7736683324505447	0.5441902781388095	0.7144844374891324	0.6436667329488964	0.6915697574105387	0.6679684469158154	0.9846386403562528	0.5397313481145817	0.2723080287037589	0.9036695470221258	0.4258120025812003	0.999011939069576
515rcbc255	0.41271410629826577	0.0	0.48889426232339633	0.6870331891952602	0.7058398326041468	0.6079283887468031	0.9922960725075529	0.892410189799984	0.5914043038506558	0.7238622386223862	0.7006225935938396	0.6936932078625934	0.5706278695367003	0.3146867303215358	0.6499504769848303	0.6142290107019043	0.5708091730658726	0.5435258168686413	0.5461452838406814	0.7006605346009013	0.510881478002192	0.4510622537961685	0.3176748040028045	0.9939334192765602	0.5753670290261123	0.5531854648419066	0.6430424188435035	0.5950266429840142	0.6380389780874482	0.533937425200889	0.8381461175314978	0.5922837100545596	0.4177833612506979	0.640711836348587	0.6009766112698721	0.766605563942204	0.5342873162526511	0.7651521331266824	0.7872224677841624	0.609153111283243	0.5483158475980121	0.7417851500789889	0.7472901827191081	0.6557905854814308	0.5445465894904097	0.7451599501454093	0.7410063879861033	0.6399099229986924	0.9718225419664268	0.6459526774595268	0.5211619952008986	0.8342646858388987	0.5730972650394547	0.9981758759595653
515rcbc247	0.41075794621026895	0.48889426232339633	0.0	0.6075562406918715	0.7657545605306799	0.5335749432805916	0.9925781495691552	0.8380649687182351	0.5084774028573017	0.677307484578868	0.6370345912560452	0.5197000956071052	0.49785917516090716	0.4038640163477615	0.4780255941499086	0.4674231007889372	0.5938904687643336	0.4250111259457054	0.6364669773786518	0.6200473514561999	0.5959670027497709	0.48473423980222496	0.48661750448041835	0.9946989776599773	0.6464277005608389	0.3408528659482578	0.52691912016852	0.5125668882763094	0.4974805422157034	0.6197880831154534	0.7601827625258718	0.3449627458596702	0.5442439725371228	0.5270096198646093	0.45372332179215547	0.6818010313168155	0.49482600732600734	0.6141599767869232	0.6652624388022316	0.6167855540254074	0.4876609442060086	0.6886245520553856	0.7874617299493548	0.5784558238259485	0.5717173709383166	0.6434584159527106	0.6019507437210436	0.597827167036534	0.9756295694557271	0.527645993271802	0.49317524442425836	0.8678820746552819	0.5076809764309764	0.9984825493171472
515rcbc263	0.5468800136907181	0.6870331891952602	0.6075562406918715	0.0	0.6510994411525176	0.46458476997340165	0.9942386101755007	0.8764305186420065	0.5333817977159205	0.317895038715228	0.4325216673545192	0.6828338109499903	0.45415947370876686	0.5406924518132588	0.6728873977773118	0.7055462414890341	0.6899567920750342	0.49594732838443983	0.6177690029615005	0.38507262355591776	0.7468141126908899	0.49012171684817424	0.6066532357132328	0.9969792545866465	0.6990798675009201	0.6569443534115488	0.6740013897370029	0.6372546774452104	0.5010626123916953	0.6078142717886487	0.7625145518044237	0.6238852046649898	0.6756187467087941	0.4874860956618465	0.5312010933057068	0.5918569582076691	0.5565001489720925	0.730603152844414	0.7672644028996566	0.6953094316332828	0.43939269368850886	0.48632512841037956	0.7744509059451147	0.6611430503889076	0.7969271877087508	0.5686650296460442	0.7047478836952521	0.5654981549815498	0.984295041468149	0.7870861885918348	0.5846839044909068	0.9062421868489041	0.5435196168393724	0.9989324318313242
515rcbc479	0.7031909776043616	0.7058398326041468	0.7657545605306799	0.6510994411525176	0.0	0.7460591526778577	0.9906309029089535	0.9452982471503423	0.603109803686138	0.6590496693833615	0.7951375376359503	0.8822609352246373	0.7088588722903062	0.7606128096105824	0.8496389562315894	0.8258116393607398	0.6952659630055387	0.7041050218795583	0.7998112339972411	0.6878955329855215	0.7072457715598246	0.6815059267241379	0.8053102986644567	0.9939311181914732	0.6416120172636063	0.7404767524191646	0.8097059902520832	0.7671384472013513	0.7624662307167925	0.7967169866627584	0.8890782246100798	0.824439680374196	0.7699207706537293	0.7352097685007244	0.7271213718852323	0.8520934997708339	0.7863760483713673	0.8986763476168138	0.8943162691058707	0.8320610687022901	0.6871134020618557	0.5501530561864323	0.4388105931547158	0.7199223434020442	0.7006300732247261	0.8094327862040307	0.8117818507931169	0.6527772732226541	0.9728615338481146	0.8165966059473766	0.7541423064157879	0.7967141591110505	0.7563928490608735	0.9981751824817519
515rcbc267	0.45328083370664657	0.6079283887468031	0.5335749432805916	0.46458476997340165	0.7460591526778577	0.0	0.9904552934722984	0.7978018573671574	0.34307864992560494	0.6605705145294588	0.4916942286967186	0.4111747510516434	0.4670403820201391	0.4415663172485489	0.5511117261740013	0.6343550395693568	0.5996353540794762	0.44200775400278197	0.47020468088781414	0.2848507542527014	0.6780257546271375	0.41045227868899714	0.5311262648482182	0.9962590086372889	0.6716587843755474	0.606951871657754	0.5983502096994694	0.6157425062924262	0.46657100578449395	0.45577253826225156	0.7074237058391164	0.49585644371941273	0.6388872377102776	0.4707609871709001	0.4945044232690761	0.3809342774319251	0.5482384647149595	0.5127160996557213	0.580925217827368	0.5394725051524837	0.4394650909656352	0.6608304871472227	0.8112660944206008	0.6450863296769196	0.7645497965681939	0.29662766689607706	0.6438956034331756	0.6308345120226309	0.9802552634449656	0.646833737537052	0.5210125894393624	0.8870016273393002	0.4480382680248841	0.9986774673499752
515rcbc454	0.9924506626184713	0.9922960725075529	0.9925781495691552	0.9942386101755007	0.9906309029089535	0.9904552934722984	0.0	0.9988224761874037	0.9914154620356209	0.9927067282999487	0.9965341830174967	0.997836668469443	0.9937536599648643	0.9938513472783169	0.9926528677516195	0.9862833795418066	0.9826029870343017	0.9935233983110039	0.9963927005234121	0.9926607401281786	0.9734904270986745	0.99387424178728	0.9942164993452641	0.8832116788321168	0.9812343619683069	0.9864864864864865	0.9926742843492455	0.9913586624712347	0.9958587455763873	0.9954110350267092	0.9981318972774132	0.9898493259318002	0.9932077406125849	0.9938396380787371	0.9955638672639499	0.9936787823338601	0.9938507740159451	0.996443061190463	0.9972035305426898	0.9963203728688826	0.9927736450584485	0.9969672785315243	0.9948024948024948	0.9913561712387972	0.9750656167979003	0.9838475499092559	0.9862385321100917	0.9915757492059107	0.782312925170068	0.9900367068694285	0.9931097841065687	0.9285714285714286	0.992648047698032	0.9252336448598131
515rcbc496	0.7975865885592419	0.892410189799984	0.8380649687182351	0.8764305186420065	0.9452982471503423	0.7978018573671574	0.9988224761874037	0.0	0.8011078102007385	0.9318624405837969	0.8190466044605426	0.6770340106604615	0.8682662120298563	0.8505427814343106	0.7596083559668712	0.9004837277653615	0.9253379730853324	0.8416745492590363	0.8401446654611212	0.8192208009947816	0.9220383342313909	0.8523175507297971	0.8503591857986167	0.9993222308288149	0.944305766165092	0.8891760586331562	0.8450267264766714	0.8649960025363218	0.814526373195177	0.8356406402447064	0.4567875431079528	0.8328849269476354	0.9034324450342527	0.8638649301064485	0.7894435664068886	0.7282559437248469	0.7879554589180997	0.601389366961855	0.5981506271709196	0.6442735804813655	0.8727032788549386	0.8801900996970053	0.9434000517341424	0.8666620935656468	0.93984622695157	0.8432416795852217	0.9295773552626463	0.9284355768326813	0.9970505991474137	0.800082593144769	0.7937207766653549	0.9817098937196527	0.8029649706377562	0.9998063047794296
515rcbc484	0.533069378205705	0.5914043038506558	0.5084774028573017	0.5333817977159205	0.603109803686138	0.34307864992560494	0.9914154620356209	0.8011078102007385	0.0	0.7350122632683507	0.5689707646311116	0.44401124308640855	0.5373049715313895	0.46149230937056834	0.604449829276352	0.5873310559928709	0.6607060981201284	0.43809311153287933	0.4951918105676766	0.38849012098308267	0.6694921725849561	0.4360468282058263	0.4914989455047257	0.9958448753462604	0.7035577889447236	0.5431446897480421	0.6537304186211169	0.6095426858745044	0.5104307369052979	0.4919536396231135	0.7235341485795614	0.47505277004496926	0.6223062911587501	0.5307046528134713	0.5466196136701337	0.4995127478753541	0.5433922996878252	0.5539463123160617	0.5846987896918802	0.5844167137701639	0.563900099432649	0.5364580623905391	0.6494824385157303	0.678982406086543	0.707516936432599	0.3757355541978842	0.6419698492462311	0.7020340846619021	0.9822313846757964	0.667577715905898	0.5044044758998334	0.8634290190296272	0.5096965979332798	0.9988110571683345
515rcbc264	0.6978443635030811	0.7238622386223862	0.677307484578868	0.317895038715228	0.6590496693833615	0.6605705145294588	0.9927067282999487	0.9318624405837969	0.7350122632683507	0.0	0.5426640996767046	0.8478195627582704	0.5933319923564316	0.6791100950681647	0.796797919095883	0.7862472735621627	0.6541993457612423	0.7078420737103542	0.8023803515854993	0.5799937868903386	0.7125753219644756	0.6983106509699145	0.7608487555839183	0.9964979141988979	0.7109985047350058	0.7047410649161197	0.7432709417302971	0.7072930273827422	0.7265389817198202	0.7871239904182478	0.865187407428372	0.7934775791784259	0.6928853981539873	0.6153078036846572	0.7335415040333073	0.7578821031251443	0.7784173879917885	0.8604928889371404	0.883324109942815	0.8314906595501335	0.5608324599490941	0.6066115702479339	0.752803738317757	0.727490850924602	0.7679859131309743	0.7519471947194719	0.788170792490447	0.5586754339197915	0.9815060794932052	0.8181486310299869	0.7806801162893137	0.8917910447761194	0.7462187702887921	0.9987620570485377
