	515rcbc257	515rcbc255	515rcbc247	515rcbc263	515rcbc479	515rcbc267	515rcbc454	515rcbc496	515rcbc484	515rcbc264	515rcbc239	515rcbc495	515rcbc243	515rcbc254	515rcbc271	515rcbc464	515rcbc240	515rcbc472	515rcbc259	515rcbc265	515rcbc249	515rcbc256	515rcbc251	515rcbc466	515rcbc470	515rcbc245	515rcbc269	515rcbc457	515rcbc471	515rcbc262	515rcbc478	515rcbc465	515rcbc253	515rcbc242	515rcbc467	515rcbc268	515rcbc261	515rcbc461	515rcbc493	515rcbc252	515rcbc241	515rcbc480	515rcbc482	515rcbc456	515rcbc250	515rcbc266	515rcbc462	515rcbc244	515rcbc248	515rcbc270	515rcbc258	515rcbc483	515rcbc477	515rcbc458
515rcbc257	0.0	0.10598315228048566	0.10916690391104579	0.23022971372308668	0.3098990703900124	0.11135786693880964	0.36349532312154903	0.19161963756471906	0.09154299106630519	0.2964324229939862	0.19118205656040702	0.2074866477786728	0.1871930327283134	0.11133277240622984	0.17291139349034046	0.19532707472725241	0.13129249805967283	0.161661553261468	0.13684099818404613	0.12752441950652088	0.09095161412126133	0.12574135392080116	0.14942051301839615	0.2793127843318408	0.17684148249743298	0.16664304600787	0.24828144750438225	0.25535555134971694	0.16100019998962264	0.1345900302641472	0.1532959838824293	0.178811557414429	0.27087175141794706	0.19225356600672933	0.17052088757233225	0.24170307934665072	0.10878399781246173	0.18854469608448968	0.1512228685816661	0.07695314716170165	0.19906340648613166	0.20383768606983038	0.402281601244808	0.2911467132870556	0.1418202245462471	0.22154307486300343	0.25442543743878737	0.2795249690775227	0.18787894302355385	0.1940861328059468	0.10412154285502365	0.10965313566344982	0.19287053989588154	0.2460132329732543
515rcbc255	0.10598315228048566	0.0	0.17498878902735218	0.21497267757533503	0.2550464558031217	0.1958324101769383	0.3551040615914198	0.26870132616789244	0.14176944772786754	0.26055734045237966	0.2012364625353469	0.2776016424294539	0.16257982187986636	0.08126763308089527	0.22785872993810163	0.2834049941199165	0.16969481243914183	0.22475170456891883	0.18083074765462384	0.18402560520736938	0.13866207887700463	0.17239804446594437	0.11901154006536588	0.3619957133271898	0.18180537477569916	0.2407318912502502	0.23827152366416118	0.25694450070995245	0.1896429444082084	0.18096821506478633	0.16336134013377662	0.2679958978496186	0.1818591186593172	0.13947259114359747	0.1856504146445416	0.30712150443866004	0.18606489920301486	0.26908610228667273	0.2056592704642441	0.14062188301126535	0.22402021690919624	0.17993461783356401	0.3248059232155035	0.2938794560870043	0.22275717694092764	0.3019490147104884	0.33732957134232955	0.2259161191498054	0.23405822450406916	0.20732179714442098	0.17911241846674214	0.12159169554482104	0.19172870975144643	0.33128266428511877
515rcbc247	0.10916690391104579	0.17498878902735218	0.0	0.22566863945959278	0.3387520970434482	0.09728766372831225	0.38576458454833906	0.1846987240762385	0.12574314996969313	0.30180143459943626	0.2102375574382264	0.2175203354136919	0.1896852393750839	0.14575068283195297	0.1805672882116621	0.17127605107050906	0.1551076526335053	0.12146939718767952	0.1424078674082599	0.09629266449911938	0.07855804321830345	0.07019565329607991	0.18042185054483512	0.23348404026774836	0.20268935801925334	0.10602858115253706	0.2809116774729517	0.28180945432492327	0.11698023655533438	0.14163975499507261	0.18875547096158907	0.15957628677252716	0.27544018228792133	0.1844148099928897	0.1996347825940075	0.17842127291571644	0.0955996123925408	0.1598536801442704	0.17379056264056908	0.10556149270594635	0.24151089941815826	0.2317940631499675	0.4168494447191633	0.32579981686666526	0.11310576867399216	0.1733727931679224	0.20874712528933198	0.2983663317767379	0.15455322110299555	0.21025669127805957	0.11199599917131571	0.14301093474348558	0.22921247033539097	0.21086712115174458
515rcbc263	0.23022971372308668	0.21497267757533503	0.22566863945959278	0.0	0.16097838228990985	0.25786909031925226	0.2322848767586264	0.3458055309250406	0.22338358169422	0.12518686329827516	0.10942591517748605	0.3570021915152436	0.12593849571739058	0.23073744087877307	0.306055646703272	0.33826911969687185	0.15155569000492908	0.28273251801411564	0.323147378601652	0.2118170829690004	0.22599891150434254	0.25480263754683874	0.27974642877204176	0.3845366481678206	0.2199445323316786	0.2646199438250957	0.24373482784139144	0.16358351078481753	0.2405037250277565	0.3256750674351124	0.21179143974164957	0.3305178700611151	0.300126550566334	0.19800084851500027	0.2412363878816236	0.33370594708643625	0.27134170273624414	0.3209228493220723	0.28622915642891583	0.2886913090545682	0.1343225718510357	0.1836923231807988	0.38218256728422895	0.19415538223028417	0.21195124437980628	0.3257269985356612	0.3608837108932028	0.22309942563374696	0.24348403100432278	0.2806027763222375	0.29905608225146024	0.17200952968557262	0.18099301592104589	0.3773145450027663
515rcbc479	0.3098990703900124	0.2550464558031217	0.3387520970434482	0.16097838228990985	0.0	0.3788256163364993	0.3101315423757413	0.46984929552710714	0.25466485324209587	0.14595313941013732	0.21651879747373087	0.4810387023658039	0.21932724081348398	0.3049248116919959	0.42743040004698163	0.4656093012743711	0.2726778146284198	0.3865670508333849	0.35607928334210615	0.33691446245861656	0.33332709146673356	0.3366451461787189	0.30134304357260694	0.4871733993749519	0.3185028427681186	0.3856989821877253	0.3361709364890237	0.2574374584514084	0.3441747150764119	0.35565532444217407	0.32805739591276784	0.4544449119921433	0.2919826676150294	0.2744582070157933	0.33856111805574124	0.4473370627415153	0.3765053895312238	0.4481361996975589	0.39002879964315856	0.3589430048828761	0.25367868493091805	0.14433138594605688	0.2436535611889266	0.27626798006635295	0.33373236056072725	0.4544057395465632	0.46877719791683353	0.2460593790245899	0.3133723674572941	0.39953448403425973	0.37526653872911697	0.21944730929225167	0.29071305829537564	0.506657106355037
515rcbc267	0.11135786693880964	0.1958324101769383	0.09728766372831225	0.25786909031925226	0.3788256163364993	0.0	0.3404303781920663	0.12077245571279518	0.15459123018026266	0.3508765440002038	0.22842124213948065	0.15731629213282583	0.23536318560182676	0.18242632878372472	0.1242089475044385	0.13208809580939082	0.14157805564935824	0.09828361068598071	0.17788605002836577	0.0905352924379821	0.11461222416704046	0.13056132319168226	0.2384710094360372	0.21924440965641656	0.13974511292837336	0.1376289259563843	0.2266613399377591	0.21386026944116043	0.11443772997532375	0.17675892849181124	0.1321933817975252	0.1011662315555841	0.3433181036637647	0.2397912418633493	0.12944110357757044	0.1654427056276894	0.1101332685087646	0.1265953875565646	0.1396785249119168	0.12049768598311841	0.19132580133013424	0.27329217318219573	0.46878667357288306	0.2612520085663926	0.11028619997485992	0.15931343284868324	0.19582282171142842	0.33744750460494594	0.17001175151411993	0.14628502359484424	0.13675576466167824	0.1768891305553906	0.17660678707948177	0.1846436411254208
515rcbc454	0.36349532312154903	0.3551040615914198	0.38576458454833906	0.2322848767586264	0.3101315423757413	0.3404303781920663	0.0	0.3432186145324311	0.3998396139127366	0.27583619966369144	0.23160055720256373	0.3508198560314814	0.2554857882095553	0.34379235802039315	0.2912480341114865	0.42747094977412414	0.2914883610363882	0.3888536528487495	0.4836669941290115	0.3562809229376496	0.3746356672340234	0.41046717450138953	0.4425472334983824	0.5027495181392281	0.24661545143351124	0.4253354734226195	0.17993611326257206	0.15429709320638677	0.34821473750779874	0.48585982116058557	0.24436498261093434	0.3718109882821311	0.4657901306143053	0.3697145004161912	0.2482962497713847	0.4687006223014756	0.4132147895948857	0.4226685861722523	0.3257763586812679	0.4157515802514286	0.18671111919643626	0.37505467319406377	0.5121961976041691	0.10218325911937413	0.3574574369835887	0.4557076284306061	0.4884898375524367	0.28523190223188205	0.40293333997394654	0.2687970299330181	0.45057491683996925	0.3345322051798173	0.20343124527511952	0.4713272365019563
515rcbc496	0.19161963756471906	0.26870132616789244	0.1846987240762385	0.3458055309250406	0.46984929552710714	0.12077245571279518	0.3432186145324311	0.0	0.23124861365052063	0.44315263701456503	0.3140355478603912	0.063943625140667	0.32237855234524126	0.2248806181041248	0.08947736725661597	0.12509324137216102	0.2376953863086394	0.15657942119924914	0.20078074763526502	0.17346410256012168	0.1756705135641663	0.19987592428456782	0.2438619309310135	0.21468655589127322	0.17382944408450926	0.18523502719681956	0.22486264919535856	0.2823070954646739	0.1916178480424411	0.20367142508779013	0.15060761841654965	0.07732227043434502	0.37642962441386474	0.29578024682967285	0.1386840566661751	0.19145775846781515	0.15753755072841502	0.13026018182403576	0.1320646474690941	0.15794671213001538	0.2442825225434474	0.36464191711787197	0.522347390158025	0.2746825791974683	0.19021445372479598	0.17112473174377793	0.19684400895847062	0.402381619902626	0.2815868297074152	0.12859030102095592	0.17334566372376012	0.26282297209476174	0.20779630011116224	0.1689146602125011
515rcbc484	0.09154299106630519	0.14176944772786754	0.12574314996969313	0.22338358169422	0.25466485324209587	0.15459123018026266	0.3998396139127366	0.23124861365052063	0.0	0.2779109118139685	0.2244782500439945	0.24756314103539098	0.19621000668348815	0.15462904928329915	0.212115518553904	0.2297125604616582	0.16995906507111766	0.18535463742597774	0.15440100296817708	0.13000442577929114	0.12245496147588707	0.14897136827373292	0.1439408530217481	0.2769931569874919	0.21775474665562378	0.160786322100205	0.28322447771491427	0.2857894852563299	0.1808273514871942	0.15219326395323782	0.19525115540369384	0.21771089862879112	0.26672088729386617	0.18597696718902879	0.21178727609558626	0.24017809837816323	0.14948214528650022	0.21582432456209572	0.18130152388400256	0.13190349542359006	0.2512744118078724	0.1557825525373883	0.3428439522234234	0.33194695821680364	0.14616484991746095	0.2200189101272457	0.2534189136297151	0.29306334143881607	0.2045898101338321	0.22627250571746438	0.14727782577070678	0.11347942568908038	0.23538449788822202	0.2711577178664894
515rcbc264	0.2964324229939862	0.26055734045237966	0.30180143459943626	0.12518686329827516	0.14595313941013732	0.3508765440002038	0.27583619966369144	0.44315263701456503	0.2779109118139685	0.0	0.15170239034483246	0.4540605276575539	0.1882924185993279	0.2781356822996881	0.4006650151427889	0.433918617993839	0.24470782320846182	0.3770696849280467	0.37149318164794015	0.29531688637541614	0.3107056105501775	0.3273333068553897	0.3161443454612411	0.4559058380037517	0.3306857355081252	0.3472859709053934	0.3154828089836796	0.24483165755180578	0.3329035321617937	0.37332388892785906	0.3193153209971225	0.42738180486765903	0.3055539757863199	0.2454445254778732	0.34737432807301055	0.41114423775847664	0.3542064359270449	0.4164211187388887	0.3589683698742591	0.3505370374277122	0.21802588672231454	0.18866308454510583	0.33968159971546436	0.2509750890617222	0.3090520862334746	0.4211717466243442	0.4366744448403233	0.1976584062771218	0.3082471148758408	0.378509963421602	0.36536298831757524	0.22494233746649586	0.28909980342028263	0.4733694934155257
